year_month,Technical_elements,items,category,ma_6,conversion_flag
2019-08-01,INキャビンフュージョンR研究（センシング×AI）,75,in_cabin_fusion,93.5,False
2019-09-01,INキャビンフュージョンR研究（センシング×AI）,62,in_cabin_fusion,88.33333333333333,False
2019-10-01,INキャビンフュージョンR研究（センシング×AI）,60,in_cabin_fusion,84.33333333333333,False
2019-11-01,INキャビンフュージョンR研究（センシング×AI）,70,in_cabin_fusion,82.0,False
2019-12-01,INキャビンフュージョンR研究（センシング×AI）,117,in_cabin_fusion,82.16666666666667,False
2020-01-01,INキャビンフュージョンR研究（センシング×AI）,75,in_cabin_fusion,76.5,False
2020-02-01,INキャビンフュージョンR研究（センシング×AI）,46,in_cabin_fusion,71.66666666666667,False
2020-03-01,INキャビンフュージョンR研究（センシング×AI）,88,in_cabin_fusion,76.0,False
2020-04-01,INキャビンフュージョンR研究（センシング×AI）,68,in_cabin_fusion,77.33333333333333,False
2020-05-01,INキャビンフュージョンR研究（センシング×AI）,77,in_cabin_fusion,78.5,False
2020-06-01,INキャビンフュージョンR研究（センシング×AI）,74,in_cabin_fusion,71.33333333333333,False
2020-07-01,INキャビンフュージョンR研究（センシング×AI）,78,in_cabin_fusion,71.83333333333333,False
2020-08-01,INキャビンフュージョンR研究（センシング×AI）,99,in_cabin_fusion,80.66666666666667,False
2020-09-01,INキャビンフュージョンR研究（センシング×AI）,97,in_cabin_fusion,82.16666666666667,False
2020-10-01,INキャビンフュージョンR研究（センシング×AI）,76,in_cabin_fusion,83.5,False
2020-11-01,INキャビンフュージョンR研究（センシング×AI）,101,in_cabin_fusion,87.5,False
2020-12-01,INキャビンフュージョンR研究（センシング×AI）,178,in_cabin_fusion,104.83333333333333,False
2021-01-01,INキャビンフュージョンR研究（センシング×AI）,71,in_cabin_fusion,103.66666666666667,False
2021-02-01,INキャビンフュージョンR研究（センシング×AI）,59,in_cabin_fusion,97.0,False
2021-03-01,INキャビンフュージョンR研究（センシング×AI）,139,in_cabin_fusion,104.0,False
2021-04-01,INキャビンフュージョンR研究（センシング×AI）,108,in_cabin_fusion,109.33333333333333,False
2021-05-01,INキャビンフュージョンR研究（センシング×AI）,87,in_cabin_fusion,107.0,False
2021-06-01,INキャビンフュージョンR研究（センシング×AI）,101,in_cabin_fusion,94.16666666666667,False
2021-07-01,INキャビンフュージョンR研究（センシング×AI）,82,in_cabin_fusion,96.0,False
2021-08-01,INキャビンフュージョンR研究（センシング×AI）,106,in_cabin_fusion,103.83333333333333,False
2021-09-01,INキャビンフュージョンR研究（センシング×AI）,94,in_cabin_fusion,96.33333333333333,False
2021-10-01,INキャビンフュージョンR研究（センシング×AI）,74,in_cabin_fusion,90.66666666666667,False
2021-11-01,INキャビンフュージョンR研究（センシング×AI）,97,in_cabin_fusion,92.33333333333333,False
2021-12-01,INキャビンフュージョンR研究（センシング×AI）,171,in_cabin_fusion,104.0,False
